# blastn
# Iteration: 0
# Query: gi|9626372|ref|NC_001422.1| Coliphage phiX174, complete genome
# RID: WUA086KG014
# Database: nr    
# Fields: query id, subject ids, query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 18 hits found
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
gi|9626372|ref|NC_001422.1| gi|1227886308|gb|MF169985.1|    gi|9626372|ref|NC_001422.1| MF169985.1  100.000 2660    0   0   1   2660    2968    309 0.0 4913
gi|9626372|ref|NC_001422.1| gi|1124775477|emb|LK995457.1|   gi|9626372|ref|NC_001422.1| LK995457.1  100.000 2660    0   0   1   2660    3872    1213    0.0 4913
